state,age_group,population
Bayern,A15-A34,169147
Berlin,A15-A34,51441
Brandenburg,A15-A34,15904
Bremen,A15-A34,9733
Hamburg,A15-A34,27671
Hessen,A15-A34,77562
Mecklenburg-Vorpommern,A15-A34,12001
Niedersachsen,A15-A34,93937
Nordrhein-Westfalen,A15-A34,225588
Rheinland-Pfalz,A15-A34,49368
Saarland,A15-A34,11694
Sachsen,A15-A34,32841
Sachsen-Anhalt,A15-A34,16594
Schleswig-Holstein,A15-A34,31834
Thüringen,A15-A34,16130
Baden-Württemberg,A15-A34,147778
Bayern,A15-A34,173224
Berlin,A15-A34,55822
Brandenburg,A15-A34,17995
Bremen,A15-A34,10026
Hamburg,A15-A34,29732
Hessen,A15-A34,80352
Mecklenburg-Vorpommern,A15-A34,13387
Niedersachsen,A15-A34,94999
Nordrhein-Westfalen,A15-A34,230244
Rheinland-Pfalz,A15-A34,50297
Saarland,A15-A34,11939
Sachsen,A15-A34,37477
Sachsen-Anhalt,A15-A34,18262
Schleswig-Holstein,A15-A34,32408
Thüringen,A15-A34,17977
Baden-Württemberg,A15-A34,154891
Bayern,A15-A34,182175
Berlin,A15-A34,65611
Brandenburg,A15-A34,26435
Bremen,A15-A34,10403
Hamburg,A15-A34,32191
Hessen,A15-A34,84719
Mecklenburg-Vorpommern,A15-A34,19521
Niedersachsen,A15-A34,99236
Nordrhein-Westfalen,A15-A34,238914
Rheinland-Pfalz,A15-A34,52011
Saarland,A15-A34,12342
Sachsen,A15-A34,52644
Sachsen-Anhalt,A15-A34,25961
Schleswig-Holstein,A15-A34,34173
Thüringen,A15-A34,25232
Baden-Württemberg,A15-A34,151363
Bayern,A15-A34,177662
Berlin,A15-A34,67210
Brandenburg,A15-A34,28286
Bremen,A15-A34,10272
Hamburg,A15-A34,31910
Hessen,A15-A34,83848
Mecklenburg-Vorpommern,A15-A34,20404
Niedersachsen,A15-A34,96921
Nordrhein-Westfalen,A15-A34,231813
Rheinland-Pfalz,A15-A34,50854
Saarland,A15-A34,12016
Sachsen,A15-A34,54219
Sachsen-Anhalt,A15-A34,26710
Schleswig-Holstein,A15-A34,33227
Thüringen,A15-A34,25786
Baden-Württemberg,A15-A34,154011
Bayern,A15-A34,181510
Berlin,A15-A34,68546
Brandenburg,A15-A34,29800
Bremen,A15-A34,10447
Hamburg,A15-A34,32677
Hessen,A15-A34,84688
Mecklenburg-Vorpommern,A15-A34,21318
Niedersachsen,A15-A34,99247
Nordrhein-Westfalen,A15-A34,235830
Rheinland-Pfalz,A15-A34,52017
Saarland,A15-A34,12275
Sachsen,A15-A34,55620
Sachsen-Anhalt,A15-A34,27827
Schleswig-Holstein,A15-A34,34201
Thüringen,A15-A34,27575
Baden-Württemberg,A15-A34,148348
Bayern,A15-A34,176362
Berlin,A15-A34,67507
Brandenburg,A15-A34,30769
Bremen,A15-A34,9954
Hamburg,A15-A34,31550
Hessen,A15-A34,82244
Mecklenburg-Vorpommern,A15-A34,21697
Niedersachsen,A15-A34,96918
Nordrhein-Westfalen,A15-A34,230150
Rheinland-Pfalz,A15-A34,50544
Saarland,A15-A34,12143
Sachsen,A15-A34,56467
Sachsen-Anhalt,A15-A34,27681
Schleswig-Holstein,A15-A34,33536
Thüringen,A15-A34,27765
Baden-Württemberg,A15-A34,147104
Bayern,A15-A34,174933
Berlin,A15-A34,65339
Brandenburg,A15-A34,30358
Bremen,A15-A34,9658
Hamburg,A15-A34,30789
Hessen,A15-A34,80961
Mecklenburg-Vorpommern,A15-A34,20979
Niedersachsen,A15-A34,95178
Nordrhein-Westfalen,A15-A34,226067
Rheinland-Pfalz,A15-A34,49849
Saarland,A15-A34,11981
Sachsen,A15-A34,54002
Sachsen-Anhalt,A15-A34,26857
Schleswig-Holstein,A15-A34,32667
Thüringen,A15-A34,26935
Baden-Württemberg,A15-A34,142162
Bayern,A15-A34,168140
Berlin,A15-A34,63536
Brandenburg,A15-A34,31079
Bremen,A15-A34,9256
Hamburg,A15-A34,29664
Hessen,A15-A34,78084
Mecklenburg-Vorpommern,A15-A34,20730
Niedersachsen,A15-A34,91840
Nordrhein-Westfalen,A15-A34,217559
Rheinland-Pfalz,A15-A34,47916
Saarland,A15-A34,11345
Sachsen,A15-A34,54274
Sachsen-Anhalt,A15-A34,26653
Schleswig-Holstein,A15-A34,31826
Thüringen,A15-A34,26729
Baden-Württemberg,A15-A34,141312
Bayern,A15-A34,167927
Berlin,A15-A34,61231
Brandenburg,A15-A34,30708
Bremen,A15-A34,8923
Hamburg,A15-A34,29295
Hessen,A15-A34,78988
Mecklenburg-Vorpommern,A15-A34,20338
Niedersachsen,A15-A34,90736
Nordrhein-Westfalen,A15-A34,216359
Rheinland-Pfalz,A15-A34,47945
Saarland,A15-A34,11269
Sachsen,A15-A34,53084
Sachsen-Anhalt,A15-A34,26717
Schleswig-Holstein,A15-A34,31788
Thüringen,A15-A34,26735
Baden-Württemberg,A35-A59,140280
Bayern,A35-A59,168848
Berlin,A35-A59,59901
Brandenburg,A35-A59,31188
Bremen,A35-A59,9130
Hamburg,A35-A59,28798
Hessen,A35-A59,78416
Mecklenburg-Vorpommern,A35-A59,20452
Niedersachsen,A35-A59,91891
Nordrhein-Westfalen,A35-A59,217012
Rheinland-Pfalz,A35-A59,48156
Saarland,A35-A59,11398
Sachsen,A35-A59,53396
Sachsen-Anhalt,A35-A59,26908
Schleswig-Holstein,A35-A59,32436
Thüringen,A35-A59,26974
Baden-Württemberg,A35-A59,143417
Bayern,A35-A59,173073
Berlin,A35-A59,59415
Brandenburg,A35-A59,31868
Bremen,A35-A59,9223
Hamburg,A35-A59,28834
Hessen,A35-A59,80893
Mecklenburg-Vorpommern,A35-A59,20784
Niedersachsen,A35-A59,93566
Nordrhein-Westfalen,A35-A59,221888
Rheinland-Pfalz,A35-A59,49580
Saarland,A35-A59,11624
Sachsen,A35-A59,53834
Sachsen-Anhalt,A35-A59,26580
Schleswig-Holstein,A35-A59,33553
Thüringen,A35-A59,27543
Baden-Württemberg,A35-A59,142471
Bayern,A35-A59,172216
Berlin,A35-A59,57849
Brandenburg,A35-A59,31684
Bremen,A35-A59,8713
Hamburg,A35-A59,28724
Hessen,A35-A59,80730
Mecklenburg-Vorpommern,A35-A59,20096
Niedersachsen,A35-A59,93844
Nordrhein-Westfalen,A35-A59,219990
Rheinland-Pfalz,A35-A59,49684
Saarland,A35-A59,11554
Sachsen,A35-A59,52217
Sachsen-Anhalt,A35-A59,26348
Schleswig-Holstein,A35-A59,33635
Thüringen,A35-A59,26761
Baden-Württemberg,A35-A59,143250
Bayern,A35-A59,170998
Berlin,A35-A59,56415
Brandenburg,A35-A59,32917
Bremen,A35-A59,8637
Hamburg,A35-A59,28391
Hessen,A35-A59,81341
Mecklenburg-Vorpommern,A35-A59,20537
Niedersachsen,A35-A59,94595
Nordrhein-Westfalen,A35-A59,220983
Rheinland-Pfalz,A35-A59,48830
Saarland,A35-A59,11564
Sachsen,A35-A59,53441
Sachsen-Anhalt,A35-A59,26924
Schleswig-Holstein,A35-A59,34503
Thüringen,A35-A59,27443
Baden-Württemberg,A35-A59,134796
Bayern,A35-A59,163919
Berlin,A35-A59,52114
Brandenburg,A35-A59,31687
Bremen,A35-A59,8196
Hamburg,A35-A59,26497
Hessen,A35-A59,78125
Mecklenburg-Vorpommern,A35-A59,20048
Niedersachsen,A35-A59,90429
Nordrhein-Westfalen,A35-A59,209483
Rheinland-Pfalz,A35-A59,47003
Saarland,A35-A59,10988
Sachsen,A35-A59,51217
Sachsen-Anhalt,A35-A59,25757
Schleswig-Holstein,A35-A59,32785
Thüringen,A35-A59,26228
Baden-Württemberg,A35-A59,131700
Bayern,A35-A59,161228
Berlin,A35-A59,49817
Brandenburg,A35-A59,31801
Bremen,A35-A59,8039
Hamburg,A35-A59,25787
Hessen,A35-A59,77243
Mecklenburg-Vorpommern,A35-A59,19878
Niedersachsen,A35-A59,90260
Nordrhein-Westfalen,A35-A59,207061
Rheinland-Pfalz,A35-A59,46355
Saarland,A35-A59,10608
Sachsen,A35-A59,51254
Sachsen-Anhalt,A35-A59,25633
Schleswig-Holstein,A35-A59,33015
Thüringen,A35-A59,25391
Baden-Württemberg,A35-A59,131053
Bayern,A35-A59,160397
Berlin,A35-A59,48337
Brandenburg,A35-A59,30644
Bremen,A35-A59,7981
Hamburg,A35-A59,25216
Hessen,A35-A59,76365
Mecklenburg-Vorpommern,A35-A59,19244
Niedersachsen,A35-A59,89660
Nordrhein-Westfalen,A35-A59,207496
Rheinland-Pfalz,A35-A59,46006
Saarland,A35-A59,10774
Sachsen,A35-A59,50036
Sachsen-Anhalt,A35-A59,24642
Schleswig-Holstein,A35-A59,32806
Thüringen,A35-A59,24984
Baden-Württemberg,A35-A59,131399
Bayern,A35-A59,158870
Berlin,A35-A59,45986
Brandenburg,A35-A59,28084
Bremen,A35-A59,8041
Hamburg,A35-A59,24899
Hessen,A35-A59,76288
Mecklenburg-Vorpommern,A35-A59,16850
Niedersachsen,A35-A59,90005
Nordrhein-Westfalen,A35-A59,208128
Rheinland-Pfalz,A35-A59,45473
Saarland,A35-A59,10322
Sachsen,A35-A59,44631
Sachsen-Anhalt,A35-A59,22045
Schleswig-Holstein,A35-A59,33060
Thüringen,A35-A59,22432
Baden-Württemberg,A35-A59,129090
Bayern,A35-A59,155933
Berlin,A35-A59,43920
Brandenburg,A35-A59,26750
Bremen,A35-A59,7898
Hamburg,A35-A59,23627
Hessen,A35-A59,74503
Mecklenburg-Vorpommern,A35-A59,15944
Niedersachsen,A35-A59,88061
Nordrhein-Westfalen,A35-A59,203219
Rheinland-Pfalz,A35-A59,44802
Saarland,A35-A59,10096
Sachsen,A35-A59,42544
Sachsen-Anhalt,A35-A59,21096
Schleswig-Holstein,A35-A59,32419
Thüringen,A35-A59,21531
Baden-Württemberg,A35-A59,131981
Bayern,A35-A59,158397
Berlin,A35-A59,42822
Brandenburg,A35-A59,26193
Bremen,A35-A59,7766
Hamburg,A35-A59,23676
Hessen,A35-A59,75721
Mecklenburg-Vorpommern,A35-A59,15665
Niedersachsen,A35-A59,90898
Nordrhein-Westfalen,A35-A59,205938
Rheinland-Pfalz,A35-A59,45262
Saarland,A35-A59,10321
Sachsen,A35-A59,42035
Sachsen-Anhalt,A35-A59,21672
Schleswig-Holstein,A35-A59,32497
Thüringen,A35-A59,22237
Baden-Württemberg,A35-A59,131215
Bayern,A35-A59,157637
Berlin,A35-A59,41447
Brandenburg,A35-A59,26804
Bremen,A35-A59,7823
Hamburg,A35-A59,22977
Hessen,A35-A59,75998
Mecklenburg-Vorpommern,A35-A59,16145
Niedersachsen,A35-A59,92782
Nordrhein-Westfalen,A35-A59,208534
Rheinland-Pfalz,A35-A59,46249
Saarland,A35-A59,10361
Sachsen,A35-A59,42473
Sachsen-Anhalt,A35-A59,22556
Schleswig-Holstein,A35-A59,33609
Thüringen,A35-A59,23058
Baden-Württemberg,A35-A59,141688
Bayern,A35-A59,169862
Berlin,A35-A59,42928
Brandenburg,A35-A59,29715
Bremen,A35-A59,8282
Hamburg,A35-A59,23944
Hessen,A35-A59,81122
Mecklenburg-Vorpommern,A35-A59,17630
Niedersachsen,A35-A59,101276
Nordrhein-Westfalen,A35-A59,225183
Rheinland-Pfalz,A35-A59,50327
Saarland,A35-A59,11449
Sachsen,A35-A59,46459
Sachsen-Anhalt,A35-A59,25957
Schleswig-Holstein,A35-A59,36492
Thüringen,A35-A59,25955
Baden-Württemberg,A35-A59,152167
Bayern,A35-A59,183435
Berlin,A35-A59,47153
Brandenburg,A35-A59,34866
Bremen,A35-A59,8871
Hamburg,A35-A59,25307
Hessen,A35-A59,87543
Mecklenburg-Vorpommern,A35-A59,20375
Niedersachsen,A35-A59,111334
Nordrhein-Westfalen,A35-A59,246204
Rheinland-Pfalz,A35-A59,55034
Saarland,A35-A59,12688
Sachsen,A35-A59,54176
Sachsen-Anhalt,A35-A59,30730
Schleswig-Holstein,A35-A59,40969
Thüringen,A35-A59,29167
Baden-Württemberg,A35-A59,158051
Bayern,A35-A59,190209
Berlin,A35-A59,47689
Brandenburg,A35-A59,35454
Bremen,A35-A59,9167
Hamburg,A35-A59,25957
Hessen,A35-A59,91445
Mecklenburg-Vorpommern,A35-A59,20835
Niedersachsen,A35-A59,116570
Nordrhein-Westfalen,A35-A59,256970
Rheinland-Pfalz,A35-A59,57628
Saarland,A35-A59,13081
Sachsen,A35-A59,54123
Sachsen-Anhalt,A35-A59,31044
Schleswig-Holstein,A35-A59,42764
Thüringen,A35-A59,29751
Baden-Württemberg,A35-A59,169125
Bayern,A35-A59,205237
Berlin,A35-A59,49738
Brandenburg,A35-A59,36893
Bremen,A35-A59,9812
Hamburg,A35-A59,26897
Hessen,A35-A59,97853
Mecklenburg-Vorpommern,A35-A59,21637
Niedersachsen,A35-A59,126373
Nordrhein-Westfalen,A35-A59,281148
Rheinland-Pfalz,A35-A59,62433
Saarland,A35-A59,14628
Sachsen,A35-A59,54532
Sachsen-Anhalt,A35-A59,32070
Schleswig-Holstein,A35-A59,47414
Thüringen,A35-A59,30035
Baden-Württemberg,A35-A59,176625
Bayern,A35-A59,213462
Berlin,A35-A59,52091
Brandenburg,A35-A59,38951
Bremen,A35-A59,10408
Hamburg,A35-A59,28792
Hessen,A35-A59,102432
Mecklenburg-Vorpommern,A35-A59,23089
Niedersachsen,A35-A59,132662
Nordrhein-Westfalen,A35-A59,293980
Rheinland-Pfalz,A35-A59,66126
Saarland,A35-A59,15680
Sachsen,A35-A59,55481
